coordinator,dataset_mode,noise_level,run_id,num_packages,final_accuracy,handling_accuracy,hub_accuracy,depot_accuracy,conflict_rate,conflict_resolution_accuracy,manual_review_rate,avg_processing_time_ms
RuleBasedCoordinator,normal,0.0,0,500,1.0,1.0,1.0,1.0,0.194,1.0,0.0,0.04026899999007583
WeightedVotingCoordinator,normal,0.0,0,500,1.0,1.0,1.0,1.0,0.194,1.0,0.0,0.04003300069598481
MediatorCoordinator,normal,0.0,0,500,1.0,1.0,1.0,1.0,0.194,1.0,0.0,0.0394320001360029
RuleBasedCoordinator,normal,0.0,1,500,1.0,1.0,1.0,1.0,0.178,1.0,0.0,0.036180001217871904
WeightedVotingCoordinator,normal,0.0,1,500,1.0,1.0,1.0,1.0,0.178,1.0,0.0,0.042248200508765876
MediatorCoordinator,normal,0.0,1,500,1.0,1.0,1.0,1.0,0.178,1.0,0.0,0.041747600538656116
RuleBasedCoordinator,normal,0.0,2,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.042560799163766205
WeightedVotingCoordinator,normal,0.0,2,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.04376379930181429
MediatorCoordinator,normal,0.0,2,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.04759140021633357
RuleBasedCoordinator,normal,0.0,3,500,1.0,1.0,1.0,1.0,0.192,1.0,0.0,0.029879799752961844
WeightedVotingCoordinator,normal,0.0,3,500,1.0,1.0,1.0,1.0,0.192,1.0,0.0,0.03234439995139837
MediatorCoordinator,normal,0.0,3,500,1.0,1.0,1.0,1.0,0.192,1.0,0.0,0.03140659973723814
RuleBasedCoordinator,normal,0.0,4,500,1.0,1.0,1.0,1.0,0.214,1.0,0.0,0.04682059946935624
WeightedVotingCoordinator,normal,0.0,4,500,1.0,1.0,1.0,1.0,0.214,1.0,0.0,0.042933000542689115
MediatorCoordinator,normal,0.0,4,500,1.0,1.0,1.0,1.0,0.214,1.0,0.0,0.043137999600730836
RuleBasedCoordinator,normal,0.0,5,500,1.0,1.0,1.0,1.0,0.194,1.0,0.0,0.0379332015872933
WeightedVotingCoordinator,normal,0.0,5,500,1.0,1.0,1.0,1.0,0.194,1.0,0.0,0.03949380153790116
MediatorCoordinator,normal,0.0,5,500,1.0,1.0,1.0,1.0,0.194,1.0,0.0,0.03837240027496591
RuleBasedCoordinator,normal,0.0,6,500,1.0,1.0,1.0,1.0,0.176,1.0,0.0,0.04981259984197095
WeightedVotingCoordinator,normal,0.0,6,500,1.0,1.0,1.0,1.0,0.176,1.0,0.0,0.048302600625902414
MediatorCoordinator,normal,0.0,6,500,1.0,1.0,1.0,1.0,0.176,1.0,0.0,0.04912860022159293
RuleBasedCoordinator,normal,0.0,7,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.047222800145391375
WeightedVotingCoordinator,normal,0.0,7,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.051109200867358595
MediatorCoordinator,normal,0.0,7,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.046170401212293655
RuleBasedCoordinator,normal,0.0,8,500,1.0,1.0,1.0,1.0,0.212,1.0,0.0,0.03590459929546341
WeightedVotingCoordinator,normal,0.0,8,500,1.0,1.0,1.0,1.0,0.212,1.0,0.0,0.0338155995705165
MediatorCoordinator,normal,0.0,8,500,1.0,1.0,1.0,1.0,0.212,1.0,0.0,0.03462959954049438
RuleBasedCoordinator,normal,0.0,9,500,1.0,1.0,1.0,1.0,0.186,1.0,0.0,0.048181600170210004
WeightedVotingCoordinator,normal,0.0,9,500,1.0,1.0,1.0,1.0,0.186,1.0,0.0,0.05162020103307441
MediatorCoordinator,normal,0.0,9,500,1.0,1.0,1.0,1.0,0.186,1.0,0.0,0.0531962001696229
RuleBasedCoordinator,normal,0.0,10,500,1.0,1.0,1.0,1.0,0.206,1.0,0.0,0.04631479940144345
WeightedVotingCoordinator,normal,0.0,10,500,1.0,1.0,1.0,1.0,0.206,1.0,0.0,0.04403559898491949
MediatorCoordinator,normal,0.0,10,500,1.0,1.0,1.0,1.0,0.206,1.0,0.0,0.04622099892003462
RuleBasedCoordinator,normal,0.0,11,500,1.0,1.0,1.0,1.0,0.198,1.0,0.0,0.03586980054387823
WeightedVotingCoordinator,normal,0.0,11,500,1.0,1.0,1.0,1.0,0.198,1.0,0.0,0.03520320024108514
MediatorCoordinator,normal,0.0,11,500,1.0,1.0,1.0,1.0,0.198,1.0,0.0,0.03967179963365197
RuleBasedCoordinator,normal,0.0,12,500,1.0,1.0,1.0,1.0,0.18,1.0,0.0,0.040234200307168067
WeightedVotingCoordinator,normal,0.0,12,500,1.0,1.0,1.0,1.0,0.18,1.0,0.0,0.04116359987528995
MediatorCoordinator,normal,0.0,12,500,1.0,1.0,1.0,1.0,0.18,1.0,0.0,0.03793179971398786
RuleBasedCoordinator,normal,0.0,13,500,1.0,1.0,1.0,1.0,0.194,1.0,0.0,0.04089199932059273
WeightedVotingCoordinator,normal,0.0,13,500,1.0,1.0,1.0,1.0,0.194,1.0,0.0,0.040786199271678925
MediatorCoordinator,normal,0.0,13,500,1.0,1.0,1.0,1.0,0.194,1.0,0.0,0.03937359940027818
RuleBasedCoordinator,normal,0.0,14,500,1.0,1.0,1.0,1.0,0.204,1.0,0.0,0.04871679958887398
WeightedVotingCoordinator,normal,0.0,14,500,1.0,1.0,1.0,1.0,0.204,1.0,0.0,0.04954159999033436
MediatorCoordinator,normal,0.0,14,500,1.0,1.0,1.0,1.0,0.204,1.0,0.0,0.050995000172406435
RuleBasedCoordinator,normal,0.0,15,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.03912239900091663
WeightedVotingCoordinator,normal,0.0,15,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.036245199269615114
MediatorCoordinator,normal,0.0,15,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.03917959920363501
RuleBasedCoordinator,normal,0.0,16,500,1.0,1.0,1.0,1.0,0.16,1.0,0.0,0.03262480127159506
WeightedVotingCoordinator,normal,0.0,16,500,1.0,1.0,1.0,1.0,0.16,1.0,0.0,0.0339989994536154
MediatorCoordinator,normal,0.0,16,500,1.0,1.0,1.0,1.0,0.16,1.0,0.0,0.031545600679237396
RuleBasedCoordinator,normal,0.0,17,500,1.0,1.0,1.0,1.0,0.22,1.0,0.0,0.045045000268146396
WeightedVotingCoordinator,normal,0.0,17,500,1.0,1.0,1.0,1.0,0.22,1.0,0.0,0.047054800612386316
MediatorCoordinator,normal,0.0,17,500,1.0,1.0,1.0,1.0,0.22,1.0,0.0,0.04720740101765841
RuleBasedCoordinator,normal,0.0,18,500,1.0,1.0,1.0,1.0,0.202,1.0,0.0,0.032484399853274226
WeightedVotingCoordinator,normal,0.0,18,500,1.0,1.0,1.0,1.0,0.202,1.0,0.0,0.042648200469557196
MediatorCoordinator,normal,0.0,18,500,1.0,1.0,1.0,1.0,0.202,1.0,0.0,0.04496600042330101
RuleBasedCoordinator,normal,0.0,19,500,1.0,1.0,1.0,1.0,0.158,1.0,0.0,0.03584960009902716
WeightedVotingCoordinator,normal,0.0,19,500,1.0,1.0,1.0,1.0,0.158,1.0,0.0,0.03411699982825667
MediatorCoordinator,normal,0.0,19,500,1.0,1.0,1.0,1.0,0.158,1.0,0.0,0.03078479995019734
RuleBasedCoordinator,normal,0.0,20,500,1.0,1.0,1.0,1.0,0.196,1.0,0.0,0.03623000025982037
WeightedVotingCoordinator,normal,0.0,20,500,1.0,1.0,1.0,1.0,0.196,1.0,0.0,0.04169000044930726
MediatorCoordinator,normal,0.0,20,500,1.0,1.0,1.0,1.0,0.196,1.0,0.0,0.04354340030113235
RuleBasedCoordinator,normal,0.0,21,500,1.0,1.0,1.0,1.0,0.182,1.0,0.0,0.04491680028149858
WeightedVotingCoordinator,normal,0.0,21,500,1.0,1.0,1.0,1.0,0.182,1.0,0.0,0.04427919920999557
MediatorCoordinator,normal,0.0,21,500,1.0,1.0,1.0,1.0,0.182,1.0,0.0,0.04336939950007945
RuleBasedCoordinator,normal,0.0,22,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.03913459979230538
WeightedVotingCoordinator,normal,0.0,22,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.039961200032848865
MediatorCoordinator,normal,0.0,22,500,1.0,1.0,1.0,1.0,0.2,1.0,0.0,0.04174640029668808
RuleBasedCoordinator,normal,0.0,23,500,1.0,1.0,1.0,1.0,0.212,1.0,0.0,0.03331939928466454
WeightedVotingCoordinator,normal,0.0,23,500,1.0,1.0,1.0,1.0,0.212,1.0,0.0,0.04033239925047383
MediatorCoordinator,normal,0.0,23,500,1.0,1.0,1.0,1.0,0.212,1.0,0.0,0.040990199719090015
RuleBasedCoordinator,normal,0.0,24,500,1.0,1.0,1.0,1.0,0.192,1.0,0.0,0.04838460043538362
WeightedVotingCoordinator,normal,0.0,24,500,1.0,1.0,1.0,1.0,0.192,1.0,0.0,0.05109380040084943
MediatorCoordinator,normal,0.0,24,500,1.0,1.0,1.0,1.0,0.192,1.0,0.0,0.053610000759363174
RuleBasedCoordinator,normal,0.0,25,500,1.0,1.0,1.0,1.0,0.18,1.0,0.0,0.04135919990949333
WeightedVotingCoordinator,normal,0.0,25,500,1.0,1.0,1.0,1.0,0.18,1.0,0.0,0.039549399516545236
MediatorCoordinator,normal,0.0,25,500,1.0,1.0,1.0,1.0,0.18,1.0,0.0,0.03560939972521737
RuleBasedCoordinator,normal,0.0,26,500,1.0,1.0,1.0,1.0,0.196,1.0,0.0,0.030833200027700514
WeightedVotingCoordinator,normal,0.0,26,500,1.0,1.0,1.0,1.0,0.196,1.0,0.0,0.03829380054958165
MediatorCoordinator,normal,0.0,26,500,1.0,1.0,1.0,1.0,0.196,1.0,0.0,0.03920779994223267
RuleBasedCoordinator,normal,0.0,27,500,1.0,1.0,1.0,1.0,0.178,1.0,0.0,0.04761580005288124
WeightedVotingCoordinator,normal,0.0,27,500,1.0,1.0,1.0,1.0,0.178,1.0,0.0,0.04491839959518984
MediatorCoordinator,normal,0.0,27,500,1.0,1.0,1.0,1.0,0.178,1.0,0.0,0.05020820029312745
RuleBasedCoordinator,normal,0.0,28,500,1.0,1.0,1.0,1.0,0.206,1.0,0.0,0.033393400372006
WeightedVotingCoordinator,normal,0.0,28,500,1.0,1.0,1.0,1.0,0.206,1.0,0.0,0.034823799040168524
MediatorCoordinator,normal,0.0,28,500,1.0,1.0,1.0,1.0,0.206,1.0,0.0,0.038011999742593616
RuleBasedCoordinator,normal,0.0,29,500,1.0,1.0,1.0,1.0,0.224,1.0,0.0,0.03101540094939992
WeightedVotingCoordinator,normal,0.0,29,500,1.0,1.0,1.0,1.0,0.224,1.0,0.0,0.036763400479685515
MediatorCoordinator,normal,0.0,29,500,1.0,1.0,1.0,1.0,0.224,1.0,0.0,0.04312120069516823
RuleBasedCoordinator,normal,0.1,0,500,0.634,0.746,0.832,0.83,0.354,0.4124293785310734,0.118,0.04136299970559776
WeightedVotingCoordinator,normal,0.1,0,500,0.634,0.746,0.832,0.83,0.354,0.4124293785310734,0.118,0.040431399596855044
MediatorCoordinator,normal,0.1,0,500,0.632,0.756,0.832,0.83,0.354,0.4124293785310734,0.132,0.04152419889578596
RuleBasedCoordinator,normal,0.1,1,500,0.69,0.78,0.86,0.856,0.318,0.41509433962264153,0.09,0.04012599977431819
WeightedVotingCoordinator,normal,0.1,1,500,0.69,0.78,0.86,0.856,0.318,0.41509433962264153,0.09,0.042152000474743545
MediatorCoordinator,normal,0.1,1,500,0.684,0.774,0.86,0.856,0.318,0.41509433962264153,0.1,0.042055198922753334
RuleBasedCoordinator,normal,0.1,2,500,0.65,0.752,0.802,0.8,0.31,0.3741935483870968,0.106,0.042881999688688666
WeightedVotingCoordinator,normal,0.1,2,500,0.65,0.752,0.802,0.8,0.31,0.3741935483870968,0.106,0.0423918001470156
MediatorCoordinator,normal,0.1,2,500,0.638,0.748,0.802,0.8,0.31,0.3741935483870968,0.13,0.04453219985589385
RuleBasedCoordinator,normal,0.1,3,500,0.642,0.758,0.802,0.798,0.34,0.4235294117647059,0.118,0.04177000030176714
WeightedVotingCoordinator,normal,0.1,3,500,0.642,0.758,0.802,0.798,0.34,0.4235294117647059,0.118,0.04281979950610548
MediatorCoordinator,normal,0.1,3,500,0.636,0.76,0.802,0.798,0.34,0.4176470588235294,0.132,0.040899999905377626
RuleBasedCoordinator,normal,0.1,4,500,0.646,0.722,0.84,0.838,0.338,0.3431952662721893,0.076,0.028437400644179434
WeightedVotingCoordinator,normal,0.1,4,500,0.646,0.722,0.84,0.838,0.338,0.3431952662721893,0.076,0.03228820109507069
MediatorCoordinator,normal,0.1,4,500,0.636,0.728,0.84,0.838,0.338,0.3431952662721893,0.104,0.03273500077193603
RuleBasedCoordinator,normal,0.1,5,500,0.656,0.736,0.852,0.852,0.356,0.39325842696629215,0.084,0.03366120019927621
WeightedVotingCoordinator,normal,0.1,5,500,0.656,0.736,0.852,0.852,0.356,0.39325842696629215,0.084,0.03569500072626397
MediatorCoordinator,normal,0.1,5,500,0.652,0.736,0.852,0.852,0.356,0.39325842696629215,0.096,0.03362760000163689
RuleBasedCoordinator,normal,0.1,6,500,0.628,0.716,0.844,0.844,0.336,0.31547619047619047,0.092,0.029171199596021324
WeightedVotingCoordinator,normal,0.1,6,500,0.628,0.716,0.844,0.844,0.336,0.31547619047619047,0.092,0.03390999895054847
MediatorCoordinator,normal,0.1,6,500,0.62,0.72,0.844,0.844,0.336,0.31547619047619047,0.112,0.03575400041881949
RuleBasedCoordinator,normal,0.1,7,500,0.602,0.7,0.83,0.828,0.384,0.3385416666666667,0.1,0.03926340054022148
WeightedVotingCoordinator,normal,0.1,7,500,0.602,0.7,0.83,0.828,0.384,0.3385416666666667,0.1,0.041391999169718474
MediatorCoordinator,normal,0.1,7,500,0.59,0.702,0.83,0.828,0.384,0.3385416666666667,0.126,0.04281760076992214
RuleBasedCoordinator,normal,0.1,8,500,0.62,0.726,0.82,0.818,0.326,0.3496932515337423,0.112,0.0410394006757997
WeightedVotingCoordinator,normal,0.1,8,500,0.62,0.726,0.82,0.818,0.326,0.3496932515337423,0.112,0.04249560023890808
MediatorCoordinator,normal,0.1,8,500,0.614,0.732,0.82,0.818,0.326,0.3496932515337423,0.134,0.04302039952017367
RuleBasedCoordinator,normal,0.1,9,500,0.616,0.712,0.828,0.826,0.352,0.3409090909090909,0.104,0.04531159932957962
WeightedVotingCoordinator,normal,0.1,9,500,0.616,0.712,0.828,0.826,0.352,0.3409090909090909,0.104,0.045632598630618304
MediatorCoordinator,normal,0.1,9,500,0.614,0.724,0.828,0.826,0.352,0.3409090909090909,0.12,0.04156619997229427
RuleBasedCoordinator,normal,0.1,10,500,0.632,0.728,0.842,0.84,0.334,0.32335329341317365,0.096,0.0471066003665328
WeightedVotingCoordinator,normal,0.1,10,500,0.632,0.728,0.842,0.84,0.334,0.32335329341317365,0.096,0.04843019926920533
MediatorCoordinator,normal,0.1,10,500,0.624,0.734,0.842,0.84,0.334,0.32335329341317365,0.118,0.04744419944472611
RuleBasedCoordinator,normal,0.1,11,500,0.698,0.766,0.864,0.862,0.316,0.3924050632911392,0.066,0.05223200033651665
WeightedVotingCoordinator,normal,0.1,11,500,0.698,0.766,0.864,0.862,0.316,0.3924050632911392,0.066,0.05308200075523928
MediatorCoordinator,normal,0.1,11,500,0.694,0.772,0.864,0.862,0.316,0.3924050632911392,0.082,0.05292620015097782
RuleBasedCoordinator,normal,0.1,12,500,0.636,0.716,0.858,0.856,0.424,0.44339622641509435,0.084,0.051768800360150635
WeightedVotingCoordinator,normal,0.1,12,500,0.636,0.716,0.858,0.856,0.424,0.44339622641509435,0.084,0.050924400333315134
MediatorCoordinator,normal,0.1,12,500,0.626,0.708,0.858,0.856,0.424,0.44339622641509435,0.096,0.04651060013566166
RuleBasedCoordinator,normal,0.1,13,500,0.662,0.742,0.842,0.84,0.34,0.37058823529411766,0.08,0.03279600024688989
WeightedVotingCoordinator,normal,0.1,13,500,0.662,0.742,0.842,0.84,0.34,0.37058823529411766,0.08,0.03409959975397214
MediatorCoordinator,normal,0.1,13,500,0.654,0.74,0.842,0.84,0.34,0.37058823529411766,0.094,0.03474379994440824
RuleBasedCoordinator,normal,0.1,14,500,0.662,0.732,0.866,0.862,0.376,0.425531914893617,0.07,0.05158719921018928
WeightedVotingCoordinator,normal,0.1,14,500,0.662,0.732,0.866,0.862,0.376,0.425531914893617,0.07,0.04450919944792986
MediatorCoordinator,normal,0.1,14,500,0.658,0.738,0.866,0.862,0.376,0.425531914893617,0.086,0.0461873997701332
RuleBasedCoordinator,normal,0.1,15,500,0.61,0.716,0.832,0.83,0.352,0.32386363636363635,0.11,0.04795159929199144
WeightedVotingCoordinator,normal,0.1,15,500,0.61,0.716,0.832,0.83,0.352,0.32386363636363635,0.11,0.04855539900017902
MediatorCoordinator,normal,0.1,15,500,0.604,0.716,0.832,0.83,0.352,0.32386363636363635,0.122,0.048997598816640675
RuleBasedCoordinator,normal,0.1,16,500,0.612,0.706,0.824,0.822,0.386,0.3626943005181347,0.096,0.05147660034708679
WeightedVotingCoordinator,normal,0.1,16,500,0.612,0.706,0.824,0.822,0.386,0.3626943005181347,0.096,0.05267699982505292
MediatorCoordinator,normal,0.1,16,500,0.602,0.714,0.824,0.822,0.386,0.35751295336787564,0.124,0.051060400961432606
